TimeStamp,Class,Direction
2022-02-13 19:27:22.145512,single_unit / passenger,up
2022-02-13 19:27:22.541514,single_unit / passenger,up
2022-02-13 19:27:25.180235,single_unit / passenger,up
2022-02-13 19:27:25.279235,single_unit / passenger,up
2022-02-13 19:27:25.378236,single_unit / passenger,up
2022-02-13 19:27:27.893289,single_unit / passenger,up
2022-02-13 19:27:32.321320,single_unit / passenger,up
2022-02-13 19:27:35.357276,single_unit / passenger,down
2022-02-13 19:27:35.689276,single_unit / passenger,up
2022-02-13 19:27:35.756275,single_unit / passenger,up
2022-02-13 19:27:39.169302,single_unit / passenger,up
2022-02-13 19:27:39.333300,single_unit / passenger,up
2022-02-13 19:27:39.556300,single_unit / passenger,up
2022-02-13 19:27:48.907115,single_unit / passenger,up
2022-02-13 19:27:52.566863,single_unit / passenger,up
2022-02-13 19:28:00.950874,single_unit / passenger,up
2022-02-13 19:28:04.600815,single_unit / passenger,down
2022-02-13 19:28:11.379636,single_unit / passenger,up
2022-02-13 19:28:15.744218,single_unit / passenger,up
2022-02-13 19:28:18.889023,single_unit / passenger,up
2022-02-13 19:28:24.097514,single_unit / passenger,up
2022-02-13 19:28:30.604050,single_unit / passenger,up
2022-02-13 19:28:33.817420,single_unit / passenger,up
2022-02-13 19:28:39.866515,single_unit / passenger,up
2022-02-13 19:28:44.466160,single_unit / passenger,up
2022-02-13 19:28:47.536169,single_unit / passenger,up
2022-02-13 19:28:51.129679,single_unit / passenger,up
2022-02-13 19:28:56.180278,single_unit / passenger,up
2022-02-13 19:29:01.796807,single_unit / passenger,up
2022-02-13 19:29:06.720807,single_unit / passenger,up
2022-02-13 19:29:11.354539,single_unit / passenger,up
2022-02-13 19:29:20.252466,single_unit / passenger,up
2022-02-13 19:29:24.833542,single_unit / passenger,up
2022-02-13 19:29:24.956542,single_unit / passenger,up
2022-02-13 19:29:46.234434,single_unit / passenger,up
2022-02-13 19:29:50.644534,single_unit / passenger,down
2022-02-13 19:29:54.037196,single_unit / passenger,up
2022-02-13 19:30:00.082461,single_unit / passenger,up
2022-02-13 19:30:03.155476,single_unit / passenger,up
2022-02-13 19:30:07.388476,single_unit / passenger,up
2022-02-13 19:30:07.580476,single_unit / passenger,up
2022-02-13 19:30:12.694941,bus,up
2022-02-13 19:30:12.695941,single_unit / passenger,up
2022-02-13 19:30:22.221313,single_unit / passenger,up
2022-02-13 19:30:32.764073,single_unit / passenger,up
2022-02-13 19:30:49.081186,single_unit / passenger,up
2022-02-13 19:30:53.419160,single_unit / passenger,up
2022-02-13 19:30:59.919350,single_unit / passenger,up
2022-02-13 19:31:05.233753,single_unit / passenger,up
2022-02-13 19:31:08.816781,single_unit / passenger,up
2022-02-13 19:31:13.742430,single_unit / passenger,up
2022-02-13 19:31:17.094019,single_unit / passenger,up
2022-02-13 19:31:20.960021,single_unit / passenger,up
2022-02-13 19:31:39.501041,single_unit / passenger,down
2022-02-13 19:31:49.073491,single_unit / passenger,up
2022-02-13 19:31:56.926450,single_unit / passenger,up
2022-02-13 19:32:00.138561,single_unit / passenger,up
2022-02-13 19:32:13.890446,single_unit / passenger,up
2022-02-13 19:32:18.496062,single_unit / passenger,up
2022-02-13 19:32:27.209544,single_unit / passenger,up
2022-02-13 19:32:29.598553,single_unit / passenger,up
2022-02-13 19:32:39.276989,single_unit / passenger,up
2022-02-13 19:32:47.704543,single_unit / passenger,up
2022-02-13 19:32:57.852442,single_unit / passenger,up
2022-02-13 19:33:01.117094,single_unit / passenger,up
2022-02-13 19:33:01.441094,single_unit / passenger,up
2022-02-13 19:33:08.046548,single_unit / passenger,up
2022-02-13 19:33:11.339545,single_unit / passenger,up
2022-02-13 19:33:25.598591,single_unit / passenger,up
2022-02-13 19:33:25.817594,bus,up
2022-02-13 19:33:29.345840,single_unit / passenger,up
2022-02-13 19:33:29.492840,single_unit / passenger,up
2022-02-13 19:33:44.981507,single_unit / passenger,down
2022-02-13 19:33:49.111508,single_unit / passenger,down
2022-02-13 19:33:53.048310,single_unit / passenger,down
2022-02-13 19:34:14.317124,single_unit / passenger,up
2022-02-13 19:34:23.726644,single_unit / passenger,up
2022-02-13 19:34:27.518994,single_unit / passenger,up
2022-02-13 19:34:32.475569,single_unit / passenger,up
